Month,Value,Gain,% Gain
Oct-20,42.8M,-10.7M,-20%
Sep-20,53.5M,+5.36M,11.10%
Aug-20,48.1M,+6.21M,14.80%
Jul-20,41.9M,-33.8M,-44.70%
Jun-20,75.8M,-893K,-1.20%
May-20,76.7M,-9.72M,-11.30%
Apr-20,86.4M,+19.6M,29.30%
Mar-20,66.8M,+17.1M,34.30%
Feb-20,49.8M,+15.9M,46.90%
Jan-20,33.9M,-6.50M,-16.10%
Dec-19,40.4M,+5.87M,17%
Nov-19,34.5M,-8.75M,-20.20%
Oct-19,43.2M,-2.68M,-5.80%
Sep-19,45.9M,-215K,-0.50%
Aug-19,46.1M,+5.43M,13.30%
Jul-19,40.7M,+10.5M,34.80%
Jun-19,30.2M,+503K,1.70%
May-19,29.7M,-1.08M,-3.50%
Apr-19,30.8M,-4.70M,-13.30%
Mar-19,35.5M,-11.9M,-25.10%
Feb-19,47.4M,+16.6M,54%
Jan-19,30.7M,+5.20M,20.40%
Dec-18,25.5M,-1.59M,-5.90%
Nov-18,27.1M,+3.03M,12.60%
Oct-18,24.1M,-46.6M,-65.90%
Sep-18,70.7M,+49.0M,226%
Aug-18,21.7M,-4.86M,-18.30%
Jul-18,26.5M,+4.60M,21%
Jun-18,21.9M,-4.50M,-17%
May-18,26.4M,+3.48M,15.20%
Apr-18,22.9M,-5.17M,-18.40%
Mar-18,28.1M,-9.12M,-24.50%
Feb-18,37.2M,-32.3M,-46.50%
Jan-18,69.5M,+50.8M,272%
Dec-17,18.7M,-7.05M,-27.40%
Nov-17,25.8M,-2.63M,-9.30%
Oct-17,28.4M,+1.12M,4.10%
Sep-17,27.3M,+7.12M,35.30%
Aug-17,20.2M,-47.6M,-70.30%
Jul-17,67.8M,+46.0M,211%
Jun-17,21.8M,-1.35M,-5.80%
May-17,23.1M,-13.3M,-36.40%
Apr-17,36.4M,-438K,-1.20%
Mar-17,36.8M,-3.54M,-8.80%
Feb-17,40.4M,-31.7M,-44%
Jan-17,72.1M,+41.6M,137%
Dec-16,30.5M,-,-
